Title	Authors	URL	Country	Dataset	Specific Medical area
A Context-aware Miner for Medical Processes.	L Canensi, G Leonardi, S Montani, P Terenziani	http://ceur-ws.org/Vol-1815/paper19.pdf	?	Hospital	Stroke
A data driven approach to evaluate and improve the protocol for strict glucose control in the Intensive Care Unit	I Kuiper, IITP Vanderfeesten, D Bergmans, W van Mook	http://repository.tue.nl/849018	Netherlands	Hospital	ICU
A framework of knowledge creation processes in participatory simulation of hospital work systems.	Andersen SN, Broberg O.	http://www.tandfonline.com/doi/abs/10.1080/00140139.2016.1212999?journalCode=terg20	Denmark	Hospital	Knowledge creation
A guide for the application of analytics on healthcare processes: A dynamic view on patient pathways.	Lismont J, Janssens AS, Odnoletkova I, Vanden Broucke S, Caron F, Vanthienen J.	http://www.sciencedirect.com/science/article/pii/S0010482516301986?via%3Dihub	Belgium	Primary/Secondary	Diabetes - type 2
A high-resolution process-based view of a red blood cell unit inventory using a process mining method.	Cheng CK.	http://onlinelibrary.wiley.com/doi/10.1111/trf.14027/abstract	Canada	Hospital	Blood bank
A Multi-Level Process Mining Framework for Correlating and Clustering of Biomedical Activities using Event Logs	MR Naeem, W Ali, MA Hamad Naeem…	https://thesai.org/Downloads/Volume8No3/Paper_54-A_Multi-Level_Process_Mining_Framework.pdf	?	Hospital	Hepatitis
A Proactive Workflow Model for Healthcare Operation and Management	C Liu, H Xiong, S Papadimitriou, Y Ge…	http://ieeexplore.ieee.org/iel7/69/7842711/07752974.pdf	USA	Hospital	Location tracking
A process mining analysis on a virtual electronic patient record system	Rebuge et al.	http://ieeexplore.ieee.org/document/6627874/	Portugal	Hospital	Report system
A process mining driven framework for clinical guideline improvement in critical care	Mcgregor et al.	http://ceur-ws.org/Vol-765/paper5.pdf	USA/Canada	Hospital	ICU - neonatal
A process-oriented methodology for evaluating the impact of IT: a proposal and an application in healthcare	Mans et al.	http://www.sciencedirect.com/science/article/pii/S0306437913000951	Netherlands	Dental	Dentistry
A Systematic Methodology for Outpatient Process Analysis Based on Process Mining	Cho et al.	https://link.springer.com/chapter/10.1007/978-3-319-08222-6_3	South Korea	Hospital	Outpatient
A Technological Solution to Provide Integrated and Process-Oriented Care Services in Healthcare Organizations	E Tello-Leal, PD Villarreal, O Chiotti…	http://ieeexplore.ieee.org/document/7506119/	Mexico	Hospital	Transfer to tertiary
Advanced care-flow mining and analysis	Caron et al.	https://link.springer.com/content/pdf/10.1007/978-3-642-28108-2_18.pdf	Netherlands	Hospital	Cancer - gynae
An analysis and redesign of the ICU weaning process using data analysis and process mining	Boere	http://alexandria.tue.nl/extra2/afstversl/tm/Boere_2013.pdf	Netherlands	Hospital	ICU - neonatal
An application of process mining for queueing system in health service	T Yampaka, P Chongstitvatana	http://ieeexplore.ieee.org/document/7748865/	Thailand	Hospital	Waiting lists
Analysis of Patient Treatment Procedures	Bose and van der Aalst	http://bpmcenter.org/wp-content/uploads/reports/2011/BPM-11-18.pdf	Netherlands	Hospital	Cancer - gynae
Analysis of surgical intervention populations using generic surgical process models	Neumuth et al.	https://link.springer.com/article/10.1007/s11548-010-0475-y	Germany	Hospital	Ophthalmology
Analysis of the social network miner (working together) of physicians	Rattanavayakorn and Premchaiswadi	http://ieeexplore.ieee.org/document/7368482/	Thailand	Hospital	Working behaviour
Analyzing PACS Usage Patterns by Means of Process Mining: Steps Toward a More Detailed Workflow Analysis in Radiology	Forsberg et al.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4722035/	USA	Hospital	Radiology
Analyzing the trajectories of patients with sepsis using process mining	F Mannhardt, D Blinde	http://repository.tue.nl/866565	Netherlands	Hospital	Sepsis
Analyzing the waiting time of patients in hospital by applying heuristics process miner	K Ganesha, KV Supriya…	http://ieeexplore.ieee.org/document/7975250/	?	Hospital	MRI
APMS: CONSTRUCTION AND ASSESSMENT OF HOSPITAL PROCESS FOR OUTPATIENTS PROCESS ANALYSIS	MT Khan, S Qamar, RR Sinha	https://www.academia.edu/27212247/APMS_CONSTRUCTION_AND_ASSESSMENT_OF_HOSPITAL_PROCESS_FOR_OUTPATIENTS_PROCESS_ANALYSIS	India	Hospital	Urgent care
Application of Process Mining and Semantic Structuring Towards a Lean Healthcare Network	Antonelli and Bruno	https://link.springer.com/chapter/10.1007/978-3-319-24141-8_46	Italy	Hospital	Asthma
Application of Process Mining in Healthcare – A Case Study in a Dutch Hospital	Mans et al.	https://link.springer.com/chapter/10.1007/978-3-540-92219-3_32	Netherlands	Hospital	Cancer - gynae
Application of process mining to assess the data quality of routinely collected time-based performance data sourced from electronic health records by validating  …	L Perimal-Lewis, D Teubner…	http://journals.sagepub.com/doi/abs/10.1177/1460458215604348?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed	Australia	Hospital	Emergency dept
Application of process mining to assess the data quality of routinely collected time-based performance data sourced from electronic health records by validating process conformance.	Perimal-Lewis L, Teubner D, Hakendorf P, Horwood C.	http://journals.sagepub.com/doi/abs/10.1177/1460458215604348?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed	Australia	Hospital	Emergency dept
Applying Supervised and Unsupervised Learning Techniques on Dental Patients' Records	SMA Bokhari, SA Khan	https://link.springer.com/chapter/10.1007%2F978-3-319-33353-3_5	Pakistan	Dental	Dentistry
Assessing Medical Treatment Compliance Based on Formal Process Modeling	Dunkl et al.	https://link.springer.com/chapter/10.1007/978-3-642-25364-5_37	Austria	Hospital	Cancer - skin
Assessment of hospital processes using a process mining technique: Outpatient process analysis at a tertiary hospital.	Yoo S, Cho M, Kim E, Kim S, Sim Y, Yoo D, Hwang H, Song M.	http://www.sciencedirect.com/science/article/pii/S1386505615300848?via%3Dihub	South Korea	Hospital	Outpatient
Beyond X-Raying a Care-Flow: Adopting Different Focuses on Care-Flow Mining	Caron et al.	http://www.win.tue.nl/bpi/lib/exe/fetch.php?media=2011:caron.pdf	Netherlands	Hospital	Gynaecology
Business process analysis in healthcare environments: a methodology based on process mining	Rebuge and Ferreira	http://www.sciencedirect.com/science/article/pii/S0306437911000044	Portugal	Hospital	Emergency dept
Care Mining: An application of Process Mining in Value-Based Healthcare	RS Sewradj	https://dspace.library.uu.nl/bitstream/handle/1874/351710/4148428%20Master%20Thesis%201.0%20-%20Runa%20Sewradj.pdf?sequence=2&isAllowed=y	Netherlands	Hospital	Cancer - breast/Cancer - colorectal
Combining Business Process and Data Discovery Techniques for Analyzing and Improving Integrated Care Pathways	Poelmans et al.	https://link.springer.com/chapter/10.1007/978-3-642-14400-4_39	Belgium	Hospital	Cancer - breast
Combining Data Mining and Discrete Event Simulation for a Value-Added View of a Hospital Emergency Department	R Ceglowski, L Churilov, J Wasserthiel	https://link.springer.com/chapter/10.1057/9781137535696_6	Australia	Hospital	Emergency dept
Conformance Check in Healthcare with the Supporting of Processes Mining	G Riz, EAP Santos, EFR Loures	https://dl.acm.org/citation.cfm?id=3021965	Brazil	Hospital	Cancer
Cutaneous Melanoma Surveillance by means of Process Mining	Rinner et al.	http://ebooks.iospress.nl/volumearticle/37702	Austria	Hospital	Dermatology
Declarative process mining in healthcare	Rovani et al.	http://www.sciencedirect.com/science/article/pii/S095741741500500X	Netherlands	Hospital	Urology
Diabetes care related process modeling using Process Mining techniques. Lessons learned in the application of Interactive Pattern Recognition: Coping with the Spaghetti Effect	Fernandez-Llatas et al.	http://ieeexplore.ieee.org/document/7318809/	?	Primary/Secondary	Diabetes
Discovering patient care process models from event logs	Fei et al.	https://dial.uclouvain.be/pr/boreal/object/boreal:69163	Belgium	Hospital	Surgery
Discovery of outpatient care process of a tertiary university hospital using process mining	Kim et al.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3633171/	South Korea	Hospital	Outpatient
Effect of a checklist on advanced trauma life support workflow deviations during trauma resuscitations without pre-arrival notification	Kelleher et al.	http://www.journalacs.org/article/S1072-7515(13)01256-8/fulltext	USA	Hospital	Trauma resus
Embedding Conformance Checking in a Process Intelligence System in Hospital Environments	Kirchner et al.	https://bpt.hpi.uni-potsdam.de/pub/Public/AndreasRoggeSolti/Conformance_Checking_BPI_Healthcare_ProHealth_12.pdf	Germany	Hospital	Liver transplant
Enabling measuring of the patient flow in an orthopaedic clinic	KE Bos, W Hasper	http://essay.utwente.nl/70229/1/Bos%26Hasper_BA_BMS.pdf	Netherlands	Hospital	Orthopedic
Evaluation of discovered clinical pathways using process mining and joint agent-based discrete-event simulation	V Augusto, X Xie, M Prodel…	http://ieeexplore.ieee.org/document/7822256/	France	Hospital	CVD
Evaluation of Trace Alignment Quality and its Application in Medical Process Mining	M Zhou, S Yang, X Li, S Lv, S Chen…	http://ieeexplore.ieee.org/document/8031155/	USA	Hospital	Trauma resus
Exploration of the link between the execution of a clinical process and its effectiveness using process mining techniques	Overduin	http://alexandria.tue.nl/extra2/afstversl/tm/Overduin_2013.pdf	Netherlands	Hospital	Ophthalmology
Exploring Clinical Care Processes Using Visual and Data Analytics: Challenges and Opportunities	Kumar et al.	https://www.cc.gatech.edu/~dchau/papers/14-kdd-ExploringClinicalCare-kumar.pdf	USA	Hospital	Asthma - Pediatric Emergency Dept
